unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669889051, 0, 0, 1, 1, 1, 0.22%, 0, 0, 1, 4000.00
1669889056, 0, 0, 168, 168, 1, 0.90%, 0, 0, 2, 6018.93
1669889061, 0, 9, 194, 191, 58, 1.09%, 0, 0, 3, 6484.92
1669889066, 0, 9, 219, 216, 58, 1.13%, 0, 0, 3, 6581.37
1669889072, 0, 11, 239, 235, 65, 1.22%, 0, 0, 3, 6610.67
1669889077, 0, 15, 258, 253, 76, 1.30%, 0, 0, 3, 6611.21
1669889082, 0, 31, 269, 263, 80, 1.37%, 0, 0, 3, 6620.29
1669889087, 0, 33, 291, 283, 82, 1.54%, 0, 0, 3, 6628.30
1669889092, 0, 38, 317, 306, 89, 1.74%, 0, 0, 3, 6603.98
1669889097, 0, 106, 332, 315, 101, 1.76%, 0, 0, 3, 6598.81
1669889102, 0, 133, 375, 354, 100, 1.97%, 0, 0, 3, 6580.88
1669889108, 0, 135, 390, 368, 116, 1.98%, 0, 0, 3, 6586.91
1669889113, 0, 140, 413, 389, 113, 2.05%, 0, 0, 3, 6579.77
1669889118, 0, 164, 440, 411, 122, 2.13%, 0, 0, 3, 6606.10
1669889123, 0, 173, 467, 436, 131, 2.22%, 0, 0, 4, 6634.47
1669889128, 0, 177, 486, 453, 135, 2.22%, 0, 0, 4, 6609.73
1669889133, 0, 187, 548, 511, 132, 2.42%, 0, 0, 4, 6598.20
1669889138, 0, 197, 571, 529, 164, 2.49%, 0, 0, 4, 6611.41
1669889143, 0, 197, 582, 540, 164, 2.59%, 0, 0, 4, 6601.17
1669889148, 0, 202, 608, 563, 164, 2.66%, 0, 0, 4, 6596.92
1669889153, 0, 214, 622, 570, 173, 2.68%, 0, 0, 4, 6543.19
1669889159, 0, 236, 631, 574, 170, 2.68%, 0, 0, 4, 6547.41
1669889164, 0, 239, 645, 586, 168, 2.69%, 0, 0, 4, 6577.64
1669889169, 0, 251, 661, 598, 174, 2.71%, 0, 0, 4, 6582.52
1669889174, 0, 253, 685, 621, 173, 2.73%, 0, 0, 4, 6579.34
1669889179, 0, 256, 699, 633, 176, 2.73%, 0, 0, 4, 6598.59
1669889184, 0, 259, 715, 647, 176, 2.73%, 0, 0, 4, 6568.96
1669889189, 0, 264, 726, 655, 175, 2.76%, 0, 0, 4, 6555.79
1669889194, 0, 273, 743, 669, 177, 2.90%, 0, 0, 4, 6571.36
1669889199, 0, 275, 756, 680, 184, 2.93%, 0, 0, 4, 6610.35
1669889204, 0, 292, 770, 688, 181, 3.03%, 0, 0, 4, 6557.40
1669889209, 0, 298, 785, 701, 192, 3.07%, 0, 0, 4, 6624.96
1669889214, 0, 302, 800, 714, 195, 3.18%, 0, 0, 4, 6587.49
1669889220, 0, 310, 821, 732, 203, 3.30%, 0, 0, 4, 6601.89
1669889225, 0, 327, 836, 740, 210, 3.31%, 0, 0, 4, 6611.44
1669889230, 0, 346, 860, 755, 213, 3.38%, 0, 0, 4, 6584.58
1669889235, 0, 387, 887, 773, 225, 3.50%, 0, 0, 4, 6566.38
1669889240, 0, 420, 900, 777, 222, 3.55%, 0, 0, 4, 6560.37
1669889245, 0, 448, 935, 799, 229, 3.63%, 0, 0, 4, 6570.10
1669889250, 0, 461, 939, 800, 229, 3.63%, 0, 0, 4, 6598.23
1669889255, 0, 472, 945, 799, 225, 3.64%, 0, 0, 5, 6621.52
1669889260, 0, 488, 971, 823, 224, 3.65%, 0, 0, 5, 6598.56
1669889265, 0, 493, 989, 840, 225, 3.65%, 0, 0, 5, 6599.93
1669889271, 0, 494, 1000, 850, 226, 3.67%, 0, 0, 5, 6614.47
1669889276, 0, 498, 1006, 854, 225, 3.67%, 0, 0, 5, 6601.67
1669889281, 0, 505, 1023, 870, 224, 3.73%, 0, 0, 5, 6600.98
1669889286, 0, 507, 1037, 883, 228, 3.78%, 0, 0, 5, 6593.79
1669889291, 0, 511, 1049, 893, 237, 3.83%, 0, 0, 5, 6605.13
1669889296, 0, 522, 1053, 891, 231, 3.84%, 0, 0, 5, 6579.99
1669889301, 0, 530, 1066, 902, 231, 3.85%, 0, 0, 5, 6619.29
1669889306, 0, 540, 1073, 907, 231, 3.85%, 0, 0, 5, 6650.52
1669889311, 0, 545, 1099, 932, 231, 3.90%, 0, 0, 5, 6668.50
1669889317, 0, 566, 1115, 945, 239, 3.90%, 0, 0, 5, 6625.75
1669889322, 0, 569, 1124, 951, 237, 3.96%, 0, 0, 5, 6587.78
1669889327, 0, 570, 1135, 961, 239, 3.97%, 0, 0, 5, 6591.06
1669889332, 0, 576, 1148, 972, 237, 3.97%, 0, 0, 5, 6570.97
1669889337, 0, 581, 1155, 977, 237, 3.97%, 0, 0, 5, 6577.63
1669889342, 0, 585, 1165, 984, 235, 3.98%, 0, 0, 5, 6583.59
1669889347, 0, 586, 1174, 992, 235, 3.99%, 0, 0, 5, 6570.49
1669889352, 0, 590, 1180, 995, 232, 3.99%, 0, 0, 5, 6569.19
1669889357, 0, 591, 1188, 1002, 232, 3.99%, 0, 0, 5, 6546.25
1669889363, 0, 599, 1197, 1010, 231, 4.01%, 0, 0, 5, 6459.49
1669889368, 0, 615, 1207, 1015, 235, 4.01%, 0, 0, 5, 6562.87
1669889373, 0, 619, 1212, 1016, 233, 4.01%, 0, 0, 5, 6561.14
1669889378, 0, 638, 1216, 1015, 228, 4.02%, 0, 0, 5, 6510.11
1669889383, 0, 655, 1225, 1023, 228, 4.02%, 0, 0, 5, 6547.48
1669889388, 0, 665, 1235, 1028, 225, 4.07%, 0, 0, 5, 6594.67
1669889393, 0, 669, 1244, 1035, 224, 4.07%, 0, 0, 5, 6581.45
1669889398, 0, 679, 1255, 1045, 223, 4.08%, 0, 0, 5, 6588.11
1669889403, 0, 682, 1263, 1052, 226, 4.10%, 0, 0, 5, 6622.26
1669889408, 0, 697, 1266, 1052, 228, 4.11%, 0, 0, 5, 6499.04
1669889413, 0, 718, 1272, 1054, 227, 4.12%, 0, 0, 5, 6566.62
1669889418, 0, 729, 1276, 1054, 223, 4.12%, 0, 0, 5, 6560.31
1669889423, 0, 742, 1284, 1058, 222, 4.14%, 0, 0, 5, 6645.70
1669889429, 0, 749, 1296, 1068, 222, 4.16%, 0, 0, 5, 6660.07
1669889434, 0, 756, 1306, 1075, 224, 4.17%, 0, 0, 5, 6650.45
1669889439, 0, 765, 1315, 1079, 222, 4.21%, 0, 0, 5, 6683.84
1669889444, 0, 771, 1326, 1088, 226, 4.25%, 0, 0, 5, 6610.09
1669889449, 0, 773, 1334, 1095, 229, 4.25%, 0, 0, 5, 6625.66
1669889454, 0, 779, 1341, 1098, 225, 4.27%, 0, 0, 5, 6679.51
1669889459, 0, 782, 1351, 1106, 226, 4.28%, 0, 0, 5, 6716.21
1669889464, 0, 790, 1361, 1111, 226, 4.30%, 0, 0, 5, 6605.60
1669889469, 0, 800, 1388, 1132, 229, 4.47%, 0, 0, 5, 6591.89
1669889475, 0, 803, 1395, 1137, 234, 4.48%, 0, 0, 5, 6622.91
1669889480, 0, 806, 1402, 1143, 234, 4.48%, 0, 0, 5, 6677.42
1669889485, 0, 807, 1413, 1153, 233, 4.50%, 0, 0, 5, 6633.67
1669889490, 0, 808, 1421, 1160, 237, 4.51%, 0, 0, 5, 6667.35
1669889495, 0, 812, 1431, 1169, 238, 4.55%, 0, 0, 5, 6575.25
1669889500, 0, 813, 1466, 1203, 240, 4.62%, 0, 0, 5, 6595.91
1669889505, 0, 828, 1472, 1205, 251, 4.62%, 0, 0, 5, 6577.62
1669889510, 0, 839, 1477, 1203, 244, 4.63%, 0, 0, 5, 6619.61
1669889515, 0, 860, 1484, 1204, 242, 4.64%, 0, 0, 5, 6619.20
1669889520, 0, 862, 1495, 1214, 249, 4.66%, 0, 0, 5, 6622.00
1669889526, 0, 872, 1497, 1209, 242, 4.66%, 0, 0, 5, 6591.14
1669889531, 0, 875, 1506, 1215, 240, 4.72%, 0, 0, 5, 6589.01
1669889536, 0, 882, 1518, 1223, 245, 4.76%, 0, 0, 5, 6603.98
