unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669884144, 0, 0, 1, 1, 1, 1.36%, 0, 0, 1, 727.27
1669884149, 0, 0, 105, 105, 1, 2.02%, 0, 0, 2, 1514.08
1669884154, 0, 0, 118, 118, 1, 2.08%, 0, 0, 2, 1653.16
1669884159, 0, 0, 128, 128, 1, 2.14%, 0, 0, 2, 1704.73
1669884164, 0, 0, 130, 130, 1, 2.15%, 0, 0, 2, 1595.39
1669884174, 0, 0, 132, 132, 1, 2.15%, 0, 0, 2, 1698.79
1669884179, 0, 0, 139, 139, 1, 2.18%, 0, 0, 2, 1632.69
1669884184, 0, 0, 185, 185, 1, 2.26%, 0, 0, 2, 1695.23
1669884189, 0, 0, 210, 210, 1, 2.28%, 0, 0, 2, 1774.54
1669884195, 0, 0, 223, 223, 1, 2.29%, 0, 0, 2, 1797.05
1669884200, 0, 0, 228, 228, 1, 2.29%, 0, 0, 2, 1754.98
1669884205, 0, 2, 228, 227, 96, 2.29%, 0, 0, 2, 1644.67
1669884210, 0, 3, 228, 226, 95, 2.29%, 0, 0, 2, 1814.28
1669884215, 0, 4, 229, 226, 94, 2.29%, 0, 0, 3, 1876.41
1669884220, 0, 7, 229, 224, 93, 2.29%, 0, 0, 3, 1890.07
1669884225, 0, 8, 229, 223, 93, 2.29%, 0, 0, 3, 1868.56
1669884266, 0, 8, 235, 229, 93, 2.29%, 0, 0, 3, 1612.96
1669884271, 0, 8, 240, 234, 93, 2.31%, 0, 0, 3, 1623.82
1669884276, 0, 8, 247, 241, 93, 2.32%, 0, 0, 3, 1565.44
1669884281, 0, 8, 248, 242, 93, 2.32%, 0, 0, 3, 1666.99
1669884286, 0, 24, 251, 244, 93, 2.32%, 0, 0, 3, 1675.52
1669884312, 0, 24, 254, 247, 93, 2.32%, 0, 0, 3, 1479.06
1669884317, 0, 24, 256, 249, 93, 2.32%, 0, 0, 3, 1501.63
1669884322, 0, 24, 258, 251, 93, 2.32%, 0, 0, 3, 1736.86
1669884327, 0, 24, 260, 253, 93, 2.32%, 0, 0, 3, 1669.72
1669884332, 0, 25, 261, 253, 91, 2.32%, 0, 0, 3, 1576.96
1669884337, 0, 25, 262, 254, 91, 2.33%, 0, 0, 3, 1632.76
1669884342, 0, 25, 263, 255, 91, 2.33%, 0, 0, 3, 1636.84
1669884367, 0, 25, 264, 256, 91, 2.34%, 0, 0, 3, 1481.16
1669884372, 0, 25, 269, 261, 91, 2.34%, 0, 0, 3, 1569.10
1669884377, 0, 25, 275, 267, 91, 2.37%, 0, 0, 3, 1759.86
1669884382, 0, 25, 277, 269, 91, 2.37%, 0, 0, 3, 1787.65
1669884387, 0, 25, 280, 272, 91, 2.37%, 0, 0, 3, 1788.32
1669884392, 0, 26, 280, 271, 94, 2.37%, 0, 0, 3, 1765.58
1669884417, 0, 27, 280, 270, 93, 2.37%, 0, 0, 3, 1670.83
1669884423, 0, 27, 282, 272, 93, 2.38%, 0, 0, 3, 1415.51
1669884453, 0, 27, 283, 273, 93, 2.38%, 0, 0, 3, 1706.12
1669884458, 0, 27, 287, 277, 93, 2.38%, 0, 0, 3, 1769.37
1669884463, 0, 27, 291, 281, 93, 2.38%, 0, 0, 3, 1813.58
1669884468, 0, 27, 292, 282, 93, 2.40%, 0, 0, 3, 1810.99
1669884473, 0, 27, 295, 285, 93, 2.41%, 0, 0, 3, 1823.67
1669884478, 0, 29, 295, 284, 96, 2.41%, 0, 0, 3, 1854.16
1669884488, 0, 32, 295, 283, 95, 2.41%, 0, 0, 3, 1786.93
1669884498, 0, 32, 296, 284, 95, 2.41%, 0, 0, 3, 1751.65
1669884519, 0, 33, 296, 283, 96, 2.41%, 0, 0, 3, 1754.37
1669884554, 0, 33, 297, 284, 96, 2.41%, 0, 0, 3, 1617.78
1669884559, 0, 34, 297, 283, 96, 2.41%, 0, 0, 3, 1673.72
1669884569, 0, 34, 298, 284, 96, 2.41%, 0, 0, 3, 1711.92
1669884595, 0, 37, 298, 283, 95, 2.41%, 0, 0, 3, 1537.02
1669884635, 0, 40, 300, 284, 94, 2.41%, 0, 0, 3, 1601.04
1669884645, 0, 40, 301, 285, 94, 2.41%, 0, 0, 3, 1371.41
1669884680, 0, 49, 301, 284, 94, 2.41%, 0, 0, 3, 1526.74
1669884721, 0, 51, 305, 287, 93, 2.42%, 0, 0, 3, 1831.67
1669884746, 0, 52, 308, 289, 95, 2.43%, 0, 0, 3, 1716.75
1669884772, 0, 53, 310, 290, 95, 2.43%, 0, 0, 3, 1847.53
1669884777, 0, 53, 315, 295, 95, 2.46%, 0, 0, 3, 1798.73
1669884812, 0, 67, 316, 295, 98, 2.46%, 0, 0, 3, 1711.26
1669884848, 0, 71, 316, 294, 97, 2.46%, 0, 0, 3, 1850.33
1669884863, 0, 74, 316, 293, 96, 2.46%, 0, 0, 3, 1853.36
1669884878, 0, 74, 317, 294, 96, 2.46%, 0, 0, 3, 1781.93
1669884898, 0, 75, 317, 293, 95, 2.46%, 0, 0, 3, 1721.89
1669884903, 0, 75, 318, 294, 95, 2.46%, 0, 0, 3, 1695.08
1669884934, 0, 79, 321, 296, 95, 2.48%, 0, 0, 3, 1799.33
1669884939, 0, 79, 326, 301, 95, 2.50%, 0, 0, 3, 1863.94
1669884944, 0, 79, 330, 305, 95, 2.51%, 0, 0, 3, 1834.91
1669884949, 0, 79, 331, 306, 95, 2.53%, 0, 0, 3, 1826.44
1669884954, 0, 79, 332, 307, 95, 2.54%, 0, 0, 3, 1831.92
1669884959, 0, 81, 334, 308, 102, 2.55%, 0, 0, 3, 1757.49
1669884994, 0, 83, 334, 307, 103, 2.55%, 0, 0, 3, 1753.29
1669884999, 0, 88, 336, 308, 102, 2.55%, 0, 0, 3, 1787.34
1669885035, 0, 88, 337, 309, 102, 2.55%, 0, 0, 3, 1687.11
1669885040, 0, 93, 341, 312, 105, 2.56%, 0, 0, 3, 1761.10
1669885076, 0, 96, 342, 312, 106, 2.56%, 0, 0, 3, 1776.19
1669885081, 0, 96, 343, 313, 106, 2.56%, 0, 0, 3, 1779.96
1669885111, 0, 98, 345, 314, 106, 2.62%, 0, 0, 3, 1823.74
1669885136, 0, 99, 351, 319, 106, 2.65%, 0, 0, 3, 1795.46
1669885141, 0, 99, 353, 321, 106, 2.65%, 0, 0, 3, 1790.02
1669885146, 0, 99, 354, 322, 106, 2.66%, 0, 0, 3, 1774.74
1669885172, 0, 102, 354, 321, 112, 2.66%, 0, 0, 3, 1861.87
1669885177, 0, 103, 355, 321, 111, 2.66%, 0, 0, 3, 1784.70
1669885207, 0, 105, 356, 321, 110, 2.66%, 0, 0, 3, 1774.98
1669885212, 0, 105, 362, 327, 110, 2.66%, 0, 0, 3, 1790.28
1669885217, 0, 105, 369, 334, 110, 2.67%, 0, 0, 3, 1771.17
1669885238, 0, 105, 371, 336, 110, 2.67%, 0, 0, 3, 1789.96
1669885243, 0, 109, 372, 336, 110, 2.67%, 0, 0, 3, 1788.48
1669885248, 0, 109, 373, 337, 110, 2.67%, 0, 0, 3, 1788.21
1669885279, 0, 115, 373, 336, 110, 2.67%, 0, 0, 3, 1768.84
1669885299, 0, 119, 373, 335, 109, 2.67%, 0, 0, 3, 1808.92
1669885304, 0, 119, 374, 336, 109, 2.67%, 0, 0, 3, 1851.11
1669885309, 0, 119, 375, 337, 109, 2.67%, 0, 0, 3, 1786.81
1669885330, 0, 120, 376, 337, 110, 2.67%, 0, 0, 3, 1803.96
1669885340, 0, 120, 378, 339, 110, 2.67%, 0, 0, 3, 1788.63
1669885365, 0, 122, 379, 339, 111, 2.68%, 0, 0, 3, 1854.55
1669885385, 0, 123, 379, 338, 111, 2.68%, 0, 0, 3, 1856.47
1669885391, 0, 123, 380, 339, 111, 2.69%, 0, 0, 3, 1812.60
1669885396, 0, 123, 381, 340, 111, 2.69%, 0, 0, 3, 1779.89
1669885421, 0, 126, 381, 339, 111, 2.69%, 0, 0, 3, 1809.21
1669885447, 0, 127, 381, 338, 110, 2.69%, 0, 0, 3, 1846.29
1669885472, 0, 128, 381, 337, 109, 2.69%, 0, 0, 3, 1867.41
1669885492, 0, 129, 381, 336, 108, 2.69%, 0, 0, 3, 1827.46
1669885518, 0, 140, 381, 335, 107, 2.69%, 0, 0, 3, 1828.06
1669885528, 0, 142, 381, 334, 106, 2.69%, 0, 0, 3, 1883.84
1669885533, 0, 147, 381, 333, 104, 2.69%, 0, 0, 3, 1889.21
1669885543, 0, 148, 381, 332, 103, 2.69%, 0, 0, 3, 1875.30
1669885554, 0, 149, 381, 331, 102, 2.69%, 0, 0, 3, 1859.94
1669885564, 0, 165, 381, 329, 100, 2.69%, 0, 0, 3, 1781.66
1669885574, 0, 166, 381, 328, 99, 2.69%, 0, 0, 3, 1813.82
1669885589, 0, 167, 384, 330, 98, 2.78%, 0, 0, 3, 1882.29
1669885594, 0, 167, 396, 342, 98, 2.87%, 0, 0, 3, 1911.57
1669885600, 0, 167, 399, 345, 98, 3.03%, 0, 0, 3, 1913.32
1669885605, 0, 172, 399, 344, 107, 3.03%, 0, 0, 3, 1911.51
1669885615, 0, 179, 400, 343, 106, 3.03%, 0, 0, 3, 1915.82
1669885625, 0, 186, 401, 343, 105, 3.04%, 0, 0, 3, 1914.34
1669885630, 0, 191, 401, 342, 105, 3.04%, 0, 0, 3, 1918.69
1669885635, 0, 191, 408, 349, 105, 3.05%, 0, 0, 3, 1905.13
1669885650, 0, 195, 409, 349, 109, 3.05%, 0, 0, 3, 1893.11
1669885671, 0, 202, 409, 348, 108, 3.05%, 0, 0, 3, 1876.79
1669885681, 0, 204, 410, 348, 107, 3.07%, 0, 0, 3, 1925.89
1669885686, 0, 208, 410, 347, 107, 3.07%, 0, 0, 3, 1884.44
1669885691, 0, 209, 414, 350, 106, 3.07%, 0, 0, 3, 1842.02
1669885696, 0, 209, 422, 358, 106, 3.07%, 0, 0, 3, 1804.03
1669885701, 0, 209, 424, 360, 106, 3.07%, 0, 0, 3, 1816.11
1669885721, 0, 212, 424, 359, 109, 3.07%, 0, 0, 3, 1846.28
1669885747, 0, 213, 426, 360, 108, 3.11%, 0, 0, 3, 1907.40
1669885752, 0, 214, 427, 360, 109, 3.12%, 0, 0, 3, 1807.17
1669885787, 0, 220, 429, 361, 109, 3.12%, 0, 0, 3, 1787.91
1669885807, 0, 221, 429, 360, 109, 3.12%, 0, 0, 3, 1818.02
1669885813, 0, 221, 432, 363, 109, 3.12%, 0, 0, 3, 1791.63
1669885823, 0, 221, 433, 364, 109, 3.12%, 0, 0, 3, 1780.01
1669885843, 0, 222, 434, 364, 109, 3.12%, 0, 0, 3, 1802.79
1669885848, 0, 227, 436, 365, 109, 3.12%, 0, 0, 3, 1856.80
1669885853, 0, 227, 442, 371, 109, 3.14%, 0, 0, 3, 1817.78
1669885858, 0, 227, 443, 372, 109, 3.14%, 0, 0, 3, 1793.85
1669885884, 0, 231, 445, 372, 114, 3.15%, 0, 0, 4, 1853.83
1669885914, 0, 233, 446, 372, 114, 3.15%, 0, 0, 4, 1850.57
1669885924, 0, 240, 446, 371, 113, 3.15%, 0, 0, 4, 1863.12
1669885929, 0, 240, 447, 372, 113, 3.15%, 0, 0, 4, 1842.27
1669885950, 0, 243, 448, 372, 112, 3.15%, 0, 0, 4, 1864.04
1669885975, 0, 245, 450, 373, 111, 3.15%, 0, 0, 4, 1756.76
1669885980, 0, 245, 451, 374, 111, 3.15%, 0, 0, 4, 1740.64
1669886000, 0, 247, 451, 373, 111, 3.15%, 0, 0, 4, 1736.63
1669886011, 0, 247, 452, 374, 111, 3.15%, 0, 0, 4, 1734.73
1669886036, 0, 262, 454, 375, 110, 3.15%, 0, 0, 4, 1711.86
1669886041, 0, 262, 455, 376, 110, 3.16%, 0, 0, 4, 1699.85
1669886071, 0, 266, 456, 376, 111, 3.16%, 0, 0, 4, 1756.32
1669886102, 0, 267, 456, 375, 111, 3.16%, 0, 0, 4, 1860.24
1669886112, 0, 269, 460, 378, 110, 3.16%, 0, 0, 4, 1775.88
1669886117, 0, 269, 461, 379, 110, 3.16%, 0, 0, 4, 1747.44
1669886138, 0, 276, 462, 379, 111, 3.16%, 0, 0, 4, 1778.12
1669886163, 0, 277, 462, 378, 111, 3.16%, 0, 0, 4, 1823.36
1669886173, 0, 278, 462, 377, 110, 3.16%, 0, 0, 4, 1866.65
1669886183, 0, 284, 463, 377, 109, 3.16%, 0, 0, 4, 1792.02
1669886214, 0, 291, 465, 378, 108, 3.16%, 0, 0, 4, 1867.95
1669886219, 0, 291, 473, 386, 108, 3.17%, 0, 0, 4, 1897.87
1669886225, 0, 291, 475, 388, 108, 3.17%, 0, 0, 4, 1907.69
1669886235, 0, 293, 477, 389, 111, 3.17%, 0, 0, 4, 1820.87
1669886240, 0, 293, 478, 390, 111, 3.17%, 0, 0, 4, 1771.25
1669886270, 0, 294, 481, 392, 111, 3.17%, 0, 0, 4, 1816.27
1669886275, 0, 294, 483, 394, 111, 3.17%, 0, 0, 4, 1822.92
1669886301, 0, 300, 484, 394, 110, 3.17%, 0, 0, 4, 1799.40
1669886336, 0, 302, 486, 395, 110, 3.17%, 0, 0, 4, 1849.78
1669886362, 0, 303, 491, 399, 109, 3.25%, 0, 0, 4, 1806.34
1669886367, 0, 303, 492, 400, 109, 3.26%, 0, 0, 4, 1780.74
1669886397, 0, 306, 501, 408, 112, 3.29%, 0, 0, 4, 1795.12
1669886403, 0, 306, 502, 409, 112, 3.29%, 0, 0, 4, 1777.32
1669886433, 0, 310, 503, 409, 117, 3.29%, 0, 0, 4, 1786.93
1669886468, 0, 311, 505, 410, 116, 3.29%, 0, 0, 4, 1820.82
1669886494, 0, 313, 510, 414, 116, 3.30%, 0, 0, 4, 1800.97
1669886504, 0, 313, 512, 416, 116, 3.30%, 0, 0, 4, 1797.43
1669886529, 0, 314, 514, 417, 118, 3.30%, 0, 0, 4, 1795.38
1669886565, 0, 316, 516, 418, 117, 3.30%, 0, 0, 4, 1775.77
1669886590, 0, 317, 516, 417, 117, 3.30%, 0, 0, 4, 1796.75
1669886621, 0, 318, 516, 416, 116, 3.30%, 0, 0, 4, 1851.07
1669886626, 0, 320, 516, 415, 115, 3.30%, 0, 0, 4, 1877.42
1669886636, 0, 322, 516, 414, 114, 3.30%, 0, 0, 4, 1902.76
1669886641, 0, 323, 517, 414, 114, 3.31%, 0, 0, 4, 1893.50
1669886651, 0, 325, 518, 413, 112, 3.31%, 0, 0, 4, 1899.01
1669886656, 0, 325, 519, 414, 112, 3.31%, 0, 0, 4, 1893.55
1669886661, 0, 328, 526, 419, 113, 3.33%, 0, 0, 4, 1871.40
1669886671, 0, 329, 526, 418, 113, 3.33%, 0, 0, 4, 1887.78
1669886676, 0, 330, 529, 420, 113, 3.34%, 0, 0, 4, 1906.84
1669886687, 0, 331, 530, 420, 115, 3.35%, 0, 0, 4, 1913.03
1669886692, 0, 333, 532, 421, 114, 3.35%, 0, 0, 4, 1864.91
1669886727, 0, 338, 532, 420, 114, 3.35%, 0, 0, 4, 1795.54
1669886732, 0, 338, 533, 421, 114, 3.35%, 0, 0, 4, 1806.29
1669886763, 0, 342, 533, 420, 112, 3.35%, 0, 0, 4, 1801.58
1669886798, 0, 344, 535, 421, 111, 3.35%, 0, 0, 4, 1798.83
1669886803, 0, 344, 550, 436, 111, 3.78%, 0, 0, 4, 1791.97
1669886809, 0, 344, 551, 437, 111, 3.78%, 0, 0, 4, 1783.19
1669886829, 0, 344, 553, 439, 111, 3.78%, 0, 0, 4, 1787.20
1669886834, 0, 345, 557, 442, 126, 3.78%, 0, 0, 4, 1795.28
1669886839, 0, 345, 559, 444, 126, 3.78%, 0, 0, 4, 1809.69
1669886844, 0, 345, 560, 445, 126, 3.78%, 0, 0, 4, 1783.91
1669886869, 0, 347, 560, 444, 126, 3.78%, 0, 0, 4, 1805.52
1669886875, 0, 347, 561, 445, 126, 3.78%, 0, 0, 4, 1799.76
1669886905, 0, 350, 561, 444, 125, 3.78%, 0, 0, 4, 1786.20
1669886941, 0, 357, 562, 444, 124, 3.79%, 0, 0, 4, 1776.48
1669886946, 0, 357, 563, 445, 124, 3.79%, 0, 0, 4, 1803.08
1669886971, 0, 357, 564, 446, 124, 3.79%, 0, 0, 4, 1803.69
1669886976, 0, 362, 565, 446, 125, 3.79%, 0, 0, 4, 1805.43
1669887012, 0, 363, 565, 445, 124, 3.79%, 0, 0, 4, 1825.39
1669887017, 0, 363, 566, 446, 124, 3.79%, 0, 0, 4, 1857.15
1669887042, 0, 364, 567, 446, 122, 3.79%, 0, 0, 4, 1807.86
1669887047, 0, 364, 568, 447, 122, 3.79%, 0, 0, 4, 1794.04
1669887078, 0, 365, 568, 446, 121, 3.79%, 0, 0, 4, 1806.02
1669887088, 0, 365, 569, 447, 121, 3.79%, 0, 0, 4, 1811.75
1669887113, 0, 369, 569, 446, 120, 3.79%, 0, 0, 4, 1812.00
1669887139, 0, 370, 569, 445, 119, 3.79%, 0, 0, 4, 1831.04
1669887169, 0, 377, 570, 445, 118, 3.79%, 0, 0, 4, 1825.59
1669887205, 0, 378, 573, 447, 117, 3.79%, 0, 0, 4, 1791.29
1669887215, 0, 378, 575, 449, 117, 3.79%, 0, 0, 4, 1789.74
1669887241, 0, 380, 576, 449, 119, 3.79%, 0, 0, 4, 1808.94
1669887246, 0, 380, 577, 450, 119, 3.79%, 0, 0, 4, 1808.26
1669887271, 0, 384, 577, 449, 119, 3.79%, 0, 0, 4, 1875.99
1669887276, 0, 386, 577, 448, 118, 3.79%, 0, 0, 4, 1838.21
1669887281, 0, 389, 580, 450, 119, 3.83%, 0, 0, 4, 1793.15
1669887286, 0, 389, 581, 451, 119, 3.84%, 0, 0, 4, 1742.90
1669887291, 0, 390, 581, 450, 119, 3.84%, 0, 0, 4, 1837.40
1669887301, 0, 392, 582, 450, 118, 3.86%, 0, 0, 4, 1879.26
1669887306, 0, 393, 582, 449, 118, 3.86%, 0, 0, 4, 1897.36
1669887311, 0, 394, 582, 448, 117, 3.86%, 0, 0, 4, 1889.63
1669887316, 0, 395, 583, 448, 117, 3.87%, 0, 0, 4, 1910.67
1669887321, 0, 396, 583, 447, 116, 3.87%, 0, 0, 4, 1883.05
1669887326, 0, 397, 607, 470, 115, 3.91%, 0, 0, 4, 1840.07
1669887332, 0, 397, 626, 489, 115, 3.93%, 0, 0, 4, 1847.34
1669887337, 0, 397, 627, 490, 115, 3.93%, 0, 0, 4, 1870.09
1669887347, 0, 397, 628, 491, 115, 3.93%, 0, 0, 4, 1875.96
1669887352, 0, 398, 628, 490, 136, 3.93%, 0, 0, 4, 1873.31
1669887357, 0, 399, 628, 489, 135, 3.93%, 0, 0, 4, 1900.99
1669887367, 0, 400, 628, 488, 134, 3.93%, 0, 0, 4, 1931.85
1669887372, 0, 402, 628, 487, 133, 3.93%, 0, 0, 4, 1915.12
1669887377, 0, 405, 628, 485, 131, 3.93%, 0, 0, 4, 1898.85
1669887387, 0, 407, 628, 484, 130, 3.93%, 0, 0, 4, 1895.87
1669887398, 0, 411, 628, 483, 129, 3.93%, 0, 0, 4, 1833.47
1669887423, 0, 412, 628, 482, 128, 3.93%, 0, 0, 4, 1641.51
1669887454, 0, 413, 628, 481, 127, 3.93%, 0, 0, 4, 1808.04
1669887484, 0, 415, 628, 480, 126, 3.93%, 0, 0, 4, 1751.40
1669887515, 0, 417, 629, 480, 125, 3.93%, 0, 0, 4, 1764.97
1669887545, 0, 420, 630, 480, 124, 3.93%, 0, 0, 4, 1804.81
1669887576, 0, 422, 630, 479, 123, 3.93%, 0, 0, 4, 1806.74
1669887611, 0, 423, 630, 478, 122, 3.93%, 0, 0, 4, 1813.46
1669887641, 0, 425, 632, 479, 121, 3.94%, 0, 0, 4, 1895.52
1669887646, 0, 427, 635, 481, 123, 3.94%, 0, 0, 4, 1842.80
1669887682, 0, 427, 637, 483, 123, 3.94%, 0, 0, 4, 1772.61
1669887687, 0, 428, 637, 482, 124, 3.94%, 0, 0, 4, 1823.11
1669887708, 0, 431, 638, 482, 123, 3.94%, 0, 0, 4, 1808.36
1669887743, 0, 433, 638, 481, 123, 3.94%, 0, 0, 4, 1849.51
1669887748, 0, 434, 638, 480, 122, 3.94%, 0, 0, 4, 1853.78
1669887779, 0, 437, 639, 480, 121, 3.94%, 0, 0, 4, 1819.53
1669887809, 0, 438, 639, 479, 121, 3.94%, 0, 0, 4, 1812.87
1669887845, 0, 442, 639, 478, 121, 3.94%, 0, 0, 4, 1833.10
1669887870, 0, 444, 642, 479, 122, 3.95%, 0, 0, 5, 1891.21
1669887875, 0, 445, 642, 478, 121, 3.95%, 0, 0, 5, 1907.71
1669887906, 0, 448, 642, 477, 120, 3.95%, 0, 0, 5, 1797.33
1669887931, 0, 451, 643, 477, 119, 3.95%, 0, 0, 5, 1762.07
1669887972, 0, 454, 645, 478, 118, 3.95%, 0, 0, 5, 1704.91
1669888002, 0, 454, 646, 479, 118, 3.96%, 0, 0, 5, 1697.10
1669888007, 0, 455, 646, 478, 118, 3.96%, 0, 0, 5, 1758.90
1669888013, 0, 455, 647, 479, 118, 3.96%, 0, 0, 5, 1814.58
1669888038, 0, 457, 648, 479, 117, 3.96%, 0, 0, 5, 1798.09
1669888068, 0, 459, 650, 480, 116, 3.96%, 0, 0, 5, 1745.23
