unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669879440, 0, 0, 1, 1, 1, 2.29%, 0, 0, 1, 1000.00
1669879445, 0, 0, 195, 195, 1, 3.92%, 0, 0, 2, 1215.35
1669879450, 0, 0, 234, 234, 1, 4.12%, 0, 0, 2, 1298.47
1669879455, 0, 0, 260, 260, 1, 4.20%, 0, 0, 2, 1264.76
1669879460, 0, 0, 284, 284, 1, 4.28%, 0, 0, 2, 1295.32
1669879466, 0, 0, 286, 286, 1, 4.28%, 0, 0, 2, 1201.72
1669879471, 0, 0, 287, 287, 1, 4.29%, 0, 0, 2, 1150.00
1669879486, 0, 0, 302, 302, 1, 4.32%, 0, 0, 2, 1160.24
1669879491, 0, 0, 313, 313, 1, 4.34%, 0, 0, 2, 1122.94
1669879496, 0, 0, 339, 339, 1, 4.39%, 0, 0, 2, 1161.28
1669879501, 0, 0, 392, 392, 1, 4.48%, 0, 0, 2, 1251.51
1669879506, 0, 0, 417, 417, 1, 4.50%, 0, 0, 2, 1294.43
1669879511, 0, 0, 431, 431, 1, 4.53%, 0, 0, 2, 1286.03
1669879517, 0, 0, 447, 447, 1, 4.55%, 0, 0, 2, 1283.87
1669879522, 0, 0, 456, 456, 1, 4.55%, 0, 0, 2, 1281.84
1669879527, 0, 2, 459, 458, 172, 4.57%, 0, 0, 2, 1344.67
1669879532, 0, 3, 459, 457, 171, 4.57%, 0, 0, 2, 1343.59
1669879537, 0, 4, 459, 456, 170, 4.57%, 0, 0, 2, 1360.22
1669879542, 0, 6, 459, 455, 169, 4.57%, 0, 0, 2, 1335.92
1669879552, 0, 8, 459, 454, 168, 4.57%, 0, 0, 2, 1177.42
1669879608, 0, 17, 460, 454, 167, 4.58%, 0, 0, 3, 1257.86
1669879633, 0, 17, 461, 455, 167, 4.58%, 0, 0, 3, 1298.02
1669879638, 0, 23, 461, 454, 167, 4.58%, 0, 0, 3, 1311.80
1669879669, 0, 24, 464, 456, 166, 4.58%, 0, 0, 3, 1286.47
1669879704, 0, 25, 466, 457, 166, 4.58%, 0, 0, 3, 1068.44
1669879709, 0, 25, 469, 460, 166, 4.62%, 0, 0, 3, 980.99
1669879714, 0, 25, 470, 461, 166, 4.63%, 0, 0, 3, 1032.62
1669879760, 0, 25, 471, 462, 166, 4.63%, 0, 0, 3, 1112.15
1669879765, 0, 25, 472, 463, 166, 4.63%, 0, 0, 3, 1055.36
1669879770, 0, 25, 479, 470, 166, 4.63%, 0, 0, 3, 1151.79
