unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669599948, 0, 0, 1, 1, 1, 0.34%, 0, 0, 1, 1333.33
1669599953, 0, 0, 63, 63, 1, 0.82%, 0, 0, 2, 2298.23
1669599958, 0, 0, 68, 68, 1, 0.85%, 0, 0, 2, 2268.35
1669599969, 0, 0, 76, 76, 1, 0.87%, 0, 0, 2, 2299.64
1669599974, 0, 0, 108, 108, 1, 0.92%, 0, 0, 2, 2529.12
1669599979, 0, 0, 119, 119, 1, 0.95%, 0, 0, 2, 2600.52
1669599984, 0, 2, 123, 122, 59, 0.95%, 0, 0, 3, 2601.03
1669599989, 0, 2, 124, 123, 59, 0.95%, 0, 0, 3, 2533.81
1669600004, 0, 4, 124, 122, 60, 0.95%, 0, 0, 3, 2631.29
1669600024, 0, 5, 130, 127, 59, 0.96%, 0, 0, 3, 2617.63
1669600039, 0, 13, 130, 126, 63, 0.96%, 0, 0, 3, 2455.26
1669600044, 0, 13, 132, 128, 63, 0.96%, 0, 0, 3, 2433.35
1669600049, 0, 13, 134, 130, 63, 0.96%, 0, 0, 3, 2289.42
1669600059, 0, 13, 137, 133, 63, 0.96%, 0, 0, 3, 2283.42
1669600065, 0, 16, 137, 132, 63, 0.96%, 0, 0, 3, 2561.49
1669600080, 0, 18, 142, 136, 62, 0.97%, 0, 0, 3, 2576.21
1669600085, 0, 18, 143, 137, 62, 0.97%, 0, 0, 3, 2598.67
1669600100, 0, 26, 145, 138, 64, 0.97%, 0, 0, 3, 2618.04
1669600120, 0, 26, 153, 146, 64, 0.98%, 0, 0, 3, 2670.03
1669600125, 0, 26, 162, 155, 64, 1.11%, 0, 0, 3, 2679.20
1669600130, 0, 30, 164, 156, 67, 1.11%, 0, 0, 3, 2612.35
1669600150, 0, 33, 166, 157, 66, 1.11%, 0, 0, 3, 2377.88
1669600171, 0, 41, 166, 156, 67, 1.11%, 0, 0, 3, 2616.44
1669600176, 0, 42, 166, 155, 66, 1.11%, 0, 0, 3, 2657.85
1669600191, 0, 47, 166, 154, 65, 1.11%, 0, 0, 3, 2624.92
1669600211, 0, 52, 167, 154, 65, 1.11%, 0, 0, 3, 2604.28
1669600226, 0, 52, 168, 155, 65, 1.12%, 0, 0, 3, 2590.41
1669600231, 0, 54, 168, 154, 65, 1.12%, 0, 0, 3, 2616.54
1669600246, 0, 55, 169, 154, 64, 1.16%, 0, 0, 3, 2677.90
1669600251, 0, 55, 171, 156, 64, 1.17%, 0, 0, 3, 2685.26
1669600266, 0, 56, 172, 156, 65, 1.17%, 0, 0, 3, 2658.05
1669600287, 0, 58, 177, 160, 65, 1.18%, 0, 0, 3, 2632.92
1669600292, 0, 58, 178, 161, 65, 1.18%, 0, 0, 3, 2606.44
1669600307, 0, 58, 182, 165, 65, 1.18%, 0, 0, 3, 2618.72
1669600312, 0, 58, 187, 170, 65, 1.20%, 0, 0, 3, 2648.56
1669600317, 0, 59, 193, 175, 73, 1.21%, 0, 0, 3, 2558.84
1669600322, 0, 59, 196, 178, 73, 1.21%, 0, 0, 3, 2530.83
1669600337, 0, 59, 198, 180, 73, 1.21%, 0, 0, 3, 2637.34
1669600342, 0, 62, 200, 181, 76, 1.22%, 0, 0, 3, 2629.28
1669600358, 0, 64, 201, 181, 77, 1.23%, 0, 0, 3, 2650.82
1669600378, 0, 66, 201, 180, 77, 1.23%, 0, 0, 3, 2668.90
1669600393, 0, 67, 201, 179, 76, 1.23%, 0, 0, 3, 2668.32
1669600409, 0, 73, 201, 178, 75, 1.23%, 0, 0, 3, 2670.98
1669600414, 0, 74, 201, 177, 74, 1.23%, 0, 0, 3, 2678.19
1669600424, 0, 75, 222, 197, 73, 1.30%, 0, 0, 3, 2524.87
1669600429, 0, 75, 254, 229, 73, 1.44%, 0, 0, 3, 2512.14
1669600439, 0, 75, 256, 231, 73, 1.46%, 0, 0, 3, 2462.80
1669600444, 0, 75, 260, 235, 73, 1.46%, 0, 0, 3, 2492.17
1669600449, 0, 75, 262, 237, 73, 1.46%, 0, 0, 3, 2594.24
1669600454, 0, 81, 262, 235, 112, 1.46%, 0, 0, 3, 2464.67
1669600459, 0, 81, 265, 238, 112, 1.47%, 0, 0, 3, 2182.40
1669600464, 0, 81, 266, 239, 112, 1.47%, 0, 0, 3, 2393.77
1669600475, 0, 83, 266, 238, 111, 1.47%, 0, 0, 3, 1834.59
1669600480, 0, 87, 266, 236, 109, 1.47%, 0, 0, 3, 1732.46
1669600500, 0, 89, 266, 234, 107, 1.47%, 0, 0, 3, 2260.35
1669600505, 0, 90, 266, 233, 106, 1.47%, 0, 0, 3, 2488.05
1669600510, 0, 94, 266, 232, 103, 1.47%, 0, 0, 3, 2410.10
1669600515, 0, 99, 266, 230, 101, 1.47%, 0, 0, 3, 2442.95
1669600525, 0, 101, 267, 230, 100, 1.47%, 0, 0, 3, 2349.92
1669600540, 0, 106, 267, 229, 99, 1.47%, 0, 0, 3, 2392.57
1669600561, 0, 108, 267, 228, 98, 1.47%, 0, 0, 3, 2257.04
1669600566, 0, 112, 268, 228, 97, 1.47%, 0, 0, 3, 2341.54
1669600571, 0, 114, 268, 227, 96, 1.47%, 0, 0, 3, 2383.92
1669600591, 0, 115, 269, 227, 95, 1.47%, 0, 0, 3, 2264.77
1669600601, 0, 116, 269, 226, 94, 1.47%, 0, 0, 3, 2398.53
1669600606, 0, 117, 271, 227, 95, 1.47%, 0, 0, 3, 2371.88
1669600611, 0, 118, 271, 226, 94, 1.47%, 0, 0, 3, 2298.24
1669600616, 0, 123, 271, 225, 93, 1.47%, 0, 0, 3, 2377.64
1669600621, 0, 123, 272, 226, 93, 1.48%, 0, 0, 4, 2408.03
1669600636, 0, 124, 272, 225, 93, 1.48%, 0, 0, 4, 2373.42
1669600641, 0, 124, 273, 226, 93, 1.48%, 0, 0, 4, 2346.62
1669600657, 0, 125, 273, 225, 92, 1.48%, 0, 0, 4, 2313.21
1669600662, 0, 125, 274, 226, 92, 1.48%, 0, 0, 4, 2296.90
1669600677, 0, 126, 274, 225, 91, 1.48%, 0, 0, 4, 2315.43
1669600682, 0, 126, 275, 226, 91, 1.48%, 0, 0, 4, 2333.84
1669600697, 0, 127, 276, 226, 91, 1.48%, 0, 0, 4, 2086.83
1669600702, 0, 127, 277, 227, 91, 1.48%, 0, 0, 4, 2246.44
1669600717, 0, 129, 277, 226, 90, 1.48%, 0, 0, 4, 2308.43
1669600737, 0, 130, 277, 225, 89, 1.48%, 0, 0, 4, 2285.73
1669600742, 0, 130, 278, 226, 89, 1.48%, 0, 0, 4, 2219.86
1669600747, 0, 130, 280, 228, 89, 1.48%, 0, 0, 4, 2187.89
1669600762, 0, 130, 285, 233, 89, 1.48%, 0, 0, 4, 2172.36
1669600767, 0, 130, 287, 235, 89, 1.48%, 0, 0, 4, 2324.76
1669600773, 0, 131, 290, 237, 90, 1.49%, 0, 0, 4, 2214.68
1669600783, 0, 131, 291, 238, 90, 1.49%, 0, 0, 4, 2185.87
1669600793, 0, 131, 292, 239, 90, 1.49%, 0, 0, 4, 2185.19
1669600798, 0, 139, 295, 241, 89, 1.49%, 0, 0, 4, 2178.82
1669600823, 0, 140, 297, 242, 90, 1.50%, 0, 0, 4, 2298.51
1669600828, 0, 140, 298, 243, 90, 1.50%, 0, 0, 4, 2260.34
1669600843, 0, 140, 300, 245, 90, 1.51%, 0, 0, 4, 2034.37
1669600848, 0, 145, 301, 245, 92, 1.51%, 0, 0, 4, 1396.55
1669600858, 0, 146, 301, 244, 91, 1.51%, 0, 0, 4, 2129.98
1669600864, 0, 150, 304, 245, 90, 1.51%, 0, 0, 4, 2271.39
1669600869, 0, 150, 307, 248, 90, 1.51%, 0, 0, 4, 2394.16
1669600874, 0, 151, 308, 248, 90, 1.51%, 0, 0, 4, 2428.00
1669600879, 0, 155, 308, 247, 89, 1.51%, 0, 0, 4, 2381.15
1669600889, 0, 155, 309, 248, 89, 1.51%, 0, 0, 4, 2189.14
1669600904, 0, 158, 312, 250, 88, 1.52%, 0, 0, 4, 2272.41
1669600909, 0, 158, 313, 251, 88, 1.52%, 0, 0, 4, 2149.33
1669600924, 0, 159, 314, 251, 91, 1.52%, 0, 0, 4, 2497.97
1669600935, 0, 160, 314, 250, 90, 1.52%, 0, 0, 4, 2446.59
1669600940, 0, 160, 315, 251, 90, 1.53%, 0, 0, 4, 2037.68
1669600955, 0, 162, 316, 251, 90, 1.53%, 0, 0, 4, 2413.40
1669600960, 0, 162, 317, 252, 90, 1.53%, 0, 0, 4, 2233.07
1669600980, 0, 164, 317, 251, 89, 1.53%, 0, 0, 4, 1577.03
1669601006, 0, 165, 317, 250, 88, 1.53%, 0, 0, 4, 2227.99
1669601011, 0, 165, 318, 251, 88, 1.53%, 0, 0, 4, 2179.29
1669601031, 0, 166, 319, 251, 88, 1.53%, 0, 0, 4, 2182.89
1669601047, 0, 167, 322, 253, 87, 1.53%, 0, 0, 4, 2381.75
1669601067, 0, 168, 327, 257, 89, 1.54%, 0, 0, 4, 2467.01
1669601087, 0, 169, 333, 262, 93, 1.57%, 0, 0, 4, 2459.60
1669601092, 0, 169, 334, 263, 93, 1.57%, 0, 0, 4, 2497.87
1669601107, 0, 170, 335, 263, 92, 1.57%, 0, 0, 4, 2251.89
1669601133, 0, 171, 339, 266, 91, 1.59%, 0, 0, 4, 2193.46
1669601138, 0, 171, 340, 267, 91, 1.59%, 0, 0, 4, 2200.57
1669601153, 0, 173, 341, 267, 92, 1.59%, 0, 0, 4, 2283.27
1669601178, 0, 174, 341, 266, 92, 1.59%, 0, 0, 4, 2269.64
1669601183, 0, 174, 342, 267, 92, 1.59%, 0, 0, 4, 2283.31
1669601203, 0, 175, 345, 269, 94, 1.60%, 0, 0, 4, 2421.16
1669601208, 0, 175, 346, 270, 94, 1.60%, 0, 0, 4, 2312.73
1669601229, 0, 176, 349, 272, 95, 1.60%, 0, 0, 4, 2347.32
1669601234, 0, 176, 351, 274, 95, 1.60%, 0, 0, 4, 2390.84
1669601254, 0, 178, 352, 274, 95, 1.60%, 0, 0, 4, 2039.04
1669601274, 0, 179, 352, 273, 94, 1.60%, 0, 0, 4, 2391.62
1669601294, 0, 184, 353, 273, 93, 1.60%, 0, 0, 4, 2420.04
1669601299, 0, 185, 355, 274, 93, 1.60%, 0, 0, 4, 2336.09
1669601315, 0, 187, 356, 274, 93, 1.61%, 0, 0, 4, 2386.66
1669601335, 0, 192, 356, 273, 94, 1.61%, 0, 0, 4, 2336.52
1669601340, 0, 192, 357, 274, 94, 1.61%, 0, 0, 4, 2158.21
1669601376, 0, 195, 359, 275, 94, 1.61%, 0, 0, 4, 1283.49
1669601381, 0, 195, 360, 276, 94, 1.61%, 0, 0, 4, 896.74
1669601416, 0, 195, 361, 277, 94, 1.61%, 0, 0, 4, 1412.70
1669601421, 0, 196, 361, 276, 94, 1.61%, 0, 0, 4, 1404.74
1669601452, 0, 197, 363, 277, 93, 1.61%, 0, 0, 4, 2215.56
1669601472, 0, 198, 363, 276, 92, 1.61%, 0, 0, 4, 2365.29
1669601492, 0, 199, 364, 276, 91, 1.61%, 0, 0, 4, 2371.12
1669601512, 0, 200, 364, 275, 90, 1.61%, 0, 0, 4, 2547.14
1669601518, 0, 200, 366, 277, 90, 1.62%, 0, 0, 4, 2531.43
1669601533, 0, 204, 367, 277, 92, 1.62%, 0, 0, 4, 1812.56
1669601538, 0, 204, 377, 287, 92, 1.64%, 0, 0, 4, 2293.25
1669601553, 0, 205, 379, 288, 102, 1.65%, 0, 0, 4, 1846.78
1669601569, 0, 205, 380, 289, 102, 1.65%, 0, 0, 4, 2317.36
1669601574, 0, 206, 383, 291, 103, 1.65%, 0, 0, 4, 2288.66
1669601579, 0, 206, 384, 292, 103, 1.65%, 0, 0, 4, 2406.61
1669601599, 0, 210, 397, 304, 102, 1.68%, 0, 0, 4, 1739.36
1669601604, 0, 210, 405, 312, 102, 1.71%, 0, 0, 4, 2275.73
1669601614, 0, 210, 406, 313, 102, 1.71%, 0, 0, 4, 2426.49
1669601619, 0, 210, 414, 321, 102, 1.72%, 0, 0, 4, 2431.79
1669601625, 0, 210, 420, 327, 102, 1.72%, 0, 0, 4, 2434.68
1669601630, 0, 211, 421, 327, 117, 1.72%, 0, 0, 4, 2497.57
1669601635, 0, 211, 424, 330, 117, 1.73%, 0, 0, 4, 2478.76
1669601650, 0, 211, 425, 331, 117, 1.73%, 0, 0, 4, 2460.87
1669601655, 0, 212, 425, 330, 119, 1.73%, 0, 0, 4, 2534.08
1669601665, 0, 212, 426, 331, 119, 1.73%, 0, 0, 4, 2538.32
1669601670, 0, 214, 426, 330, 119, 1.73%, 0, 0, 4, 2504.23
1669601685, 0, 214, 427, 331, 119, 1.73%, 0, 0, 4, 2528.61
1669601690, 0, 216, 434, 337, 119, 1.74%, 0, 0, 4, 2556.18
1669601695, 0, 216, 435, 338, 119, 1.74%, 0, 0, 4, 2557.63
1669601705, 0, 218, 436, 338, 119, 1.75%, 0, 0, 4, 2428.33
1669601711, 0, 218, 438, 340, 119, 1.76%, 0, 0, 4, 1777.57
1669601716, 0, 218, 439, 341, 119, 1.76%, 0, 0, 4, 1815.91
