unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669885616, 0, 0, 1, 1, 1, 1.11%, 0, 0, 1, 1000.00
1669885621, 0, 0, 110, 110, 1, 2.10%, 0, 0, 2, 1487.18
1669885626, 0, 0, 123, 123, 1, 2.16%, 0, 0, 2, 1811.73
1669885631, 0, 0, 136, 136, 1, 2.23%, 0, 0, 2, 1733.57
1669885646, 0, 0, 139, 139, 1, 2.24%, 0, 0, 2, 1561.33
1669885652, 0, 0, 146, 146, 1, 2.27%, 0, 0, 2, 1735.18
1669885657, 0, 0, 212, 212, 1, 2.38%, 0, 0, 2, 1747.92
1669885662, 0, 0, 228, 228, 1, 2.44%, 0, 0, 2, 1669.15
1669885667, 0, 0, 242, 242, 1, 2.46%, 0, 0, 2, 1680.11
1669885672, 0, 0, 246, 246, 1, 2.46%, 0, 0, 2, 1709.67
1669885677, 0, 2, 247, 246, 100, 2.46%, 0, 0, 3, 1751.13
1669885682, 0, 3, 248, 246, 101, 2.46%, 0, 0, 3, 1818.55
1669885687, 0, 4, 248, 245, 100, 2.46%, 0, 0, 3, 1875.06
1669885692, 0, 6, 249, 245, 100, 2.47%, 0, 0, 3, 1923.43
1669885697, 0, 20, 250, 245, 101, 2.47%, 0, 0, 3, 1818.33
1669885707, 0, 20, 251, 246, 101, 2.47%, 0, 0, 3, 1825.60
1669885712, 0, 22, 252, 246, 100, 2.48%, 0, 0, 3, 1853.66
1669885717, 0, 22, 257, 251, 100, 2.52%, 0, 0, 3, 1858.84
1669885723, 0, 22, 263, 257, 100, 2.53%, 0, 0, 3, 1850.04
1669885728, 0, 22, 267, 261, 100, 2.54%, 0, 0, 3, 1856.28
1669885733, 0, 22, 269, 263, 100, 2.54%, 0, 0, 3, 1860.64
1669885738, 0, 24, 273, 266, 104, 2.54%, 0, 0, 3, 1635.74
1669885763, 0, 25, 277, 269, 104, 2.54%, 0, 0, 3, 1663.78
1669885768, 0, 25, 279, 271, 104, 2.58%, 0, 0, 3, 1623.22
1669885773, 0, 25, 280, 272, 104, 2.58%, 0, 0, 3, 1613.26
1669885798, 0, 25, 282, 274, 104, 2.58%, 0, 0, 3, 1730.72
1669885803, 0, 27, 285, 276, 106, 2.60%, 0, 0, 3, 1717.52
1669885833, 0, 27, 287, 278, 106, 2.60%, 0, 0, 3, 1728.64
1669885838, 0, 27, 292, 283, 106, 2.62%, 0, 0, 3, 1582.27
1669885844, 0, 27, 296, 287, 106, 2.63%, 0, 0, 3, 1627.40
1669885849, 0, 27, 300, 291, 106, 2.63%, 0, 0, 3, 1689.15
1669885854, 0, 27, 303, 294, 106, 2.63%, 0, 0, 3, 1746.72
1669885859, 0, 37, 304, 294, 110, 2.63%, 0, 0, 3, 1869.42
1669885894, 0, 42, 308, 297, 110, 2.63%, 0, 0, 3, 1628.32
1669885899, 0, 42, 309, 298, 110, 2.63%, 0, 0, 3, 1671.25
1669885905, 0, 42, 310, 299, 110, 2.63%, 0, 0, 3, 1810.05
1669885930, 0, 51, 313, 301, 110, 2.64%, 0, 0, 3, 1818.07
1669885955, 0, 52, 317, 304, 112, 2.66%, 0, 0, 3, 1834.93
1669885981, 0, 53, 324, 310, 113, 2.68%, 0, 0, 3, 1880.14
1669886016, 0, 54, 327, 312, 117, 2.68%, 0, 0, 3, 1912.76
1669886021, 0, 54, 332, 317, 117, 2.68%, 0, 0, 3, 1909.63
1669886046, 0, 61, 335, 319, 117, 2.69%, 0, 0, 3, 1897.21
1669886077, 0, 82, 338, 321, 117, 2.71%, 0, 0, 3, 1829.43
1669886082, 0, 82, 346, 329, 117, 2.75%, 0, 0, 3, 1860.42
1669886087, 0, 82, 351, 334, 117, 2.79%, 0, 0, 3, 1851.63
1669886092, 0, 82, 352, 335, 117, 2.79%, 0, 0, 3, 1873.13
1669886102, 0, 85, 354, 336, 125, 2.79%, 0, 0, 3, 1845.16
1669886133, 0, 87, 359, 340, 125, 2.80%, 0, 0, 3, 1831.38
1669886138, 0, 87, 372, 353, 125, 2.84%, 0, 0, 3, 1875.00
1669886143, 0, 87, 374, 355, 125, 2.85%, 0, 0, 3, 1892.44
1669886148, 0, 87, 385, 366, 125, 2.85%, 0, 0, 3, 1885.22
1669886153, 0, 87, 396, 377, 125, 2.85%, 0, 0, 3, 1861.10
1669886158, 0, 87, 400, 381, 125, 2.86%, 0, 0, 3, 1859.15
1669886163, 0, 87, 404, 385, 125, 2.86%, 0, 0, 3, 1822.45
1669886168, 0, 100, 407, 387, 136, 2.87%, 0, 0, 3, 1884.99
1669886199, 0, 101, 412, 391, 136, 2.89%, 0, 0, 3, 1893.24
1669886204, 0, 101, 416, 395, 136, 2.90%, 0, 0, 3, 1892.86
1669886234, 0, 102, 418, 396, 140, 2.93%, 0, 0, 3, 1842.31
1669886259, 0, 105, 419, 396, 141, 2.93%, 0, 0, 3, 1799.22
1669886264, 0, 105, 420, 397, 141, 2.93%, 0, 0, 3, 1812.23
1669886269, 0, 105, 421, 398, 141, 2.93%, 0, 0, 3, 1796.97
1669886289, 0, 106, 421, 397, 140, 2.93%, 0, 0, 3, 1768.98
1669886294, 0, 112, 428, 403, 139, 2.94%, 0, 0, 3, 1741.76
1669886299, 0, 112, 432, 407, 139, 2.95%, 0, 0, 3, 1425.45
1669886330, 0, 112, 433, 408, 139, 2.95%, 0, 0, 3, 1541.50
1669886335, 0, 120, 433, 407, 144, 2.95%, 0, 0, 3, 1714.33
1669886345, 0, 120, 434, 408, 144, 2.95%, 0, 0, 3, 1745.07
1669886361, 0, 121, 434, 407, 144, 2.95%, 0, 0, 3, 1835.32
1669886371, 0, 122, 436, 408, 143, 2.95%, 0, 0, 3, 1861.91
1669886406, 0, 123, 438, 409, 143, 2.95%, 0, 0, 3, 1829.30
1669886442, 0, 124, 440, 410, 143, 2.96%, 0, 0, 3, 1877.70
1669886447, 0, 124, 441, 411, 143, 2.96%, 0, 0, 3, 1834.03
1669886467, 0, 125, 443, 412, 143, 2.96%, 0, 0, 3, 1880.88
1669886472, 0, 125, 444, 413, 143, 2.97%, 0, 0, 3, 1937.77
1669886477, 0, 125, 446, 415, 143, 2.97%, 0, 0, 3, 1933.84
1669886503, 0, 126, 450, 418, 146, 2.97%, 0, 0, 3, 1676.73
1669886508, 0, 126, 451, 419, 146, 2.97%, 0, 0, 3, 1779.63
1669886513, 0, 126, 452, 420, 146, 2.97%, 0, 0, 3, 1757.26
1669886538, 0, 127, 455, 422, 148, 2.98%, 0, 0, 3, 1854.85
1669886564, 0, 129, 456, 422, 149, 2.98%, 0, 0, 3, 1839.64
1669886589, 0, 133, 457, 422, 148, 2.98%, 0, 0, 3, 1777.41
1669886614, 0, 134, 458, 422, 147, 2.98%, 0, 0, 3, 1824.48
1669886634, 0, 134, 459, 423, 147, 2.98%, 0, 0, 3, 1790.14
