unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669886778, 0, 0, 1, 1, 1, 4.17%, 0, 0, 1, 0.00
1669886783, 0, 0, 114, 114, 1, 5.82%, 0, 0, 2, 1384.19
1669886788, 0, 0, 147, 147, 1, 5.90%, 0, 0, 2, 1010.36
1669886929, 0, 0, 159, 159, 1, 5.93%, 0, 0, 2, 877.44
1669886934, 0, 0, 163, 163, 1, 5.93%, 0, 0, 2, 882.44
1669886945, 0, 0, 165, 165, 1, 5.93%, 0, 0, 2, 878.69
1669886950, 0, 0, 168, 168, 1, 5.94%, 0, 0, 2, 872.60
1669886960, 0, 0, 205, 205, 1, 5.97%, 0, 0, 2, 883.67
1669886965, 0, 0, 298, 298, 1, 6.39%, 0, 0, 2, 1004.69
1669886970, 0, 0, 389, 389, 1, 6.57%, 0, 0, 2, 1113.18
1669886975, 0, 0, 418, 418, 1, 6.59%, 0, 0, 2, 1105.13
1669886980, 0, 0, 472, 472, 1, 6.75%, 0, 0, 2, 1075.19
1669886985, 0, 0, 531, 531, 1, 7.09%, 0, 0, 2, 1032.64
1669886990, 0, 0, 536, 536, 1, 7.10%, 0, 0, 2, 935.96
1669887132, 0, 0, 537, 537, 1, 7.10%, 0, 0, 2, 859.00
1669887142, 0, 0, 538, 538, 1, 7.11%, 0, 0, 2, 877.66
1669887147, 0, 0, 539, 539, 1, 7.11%, 0, 0, 2, 868.91
1669887167, 0, 0, 542, 542, 1, 7.12%, 0, 0, 2, 930.17
1669887172, 0, 0, 556, 556, 1, 7.19%, 0, 0, 2, 1114.29
1669887177, 0, 0, 559, 559, 1, 7.19%, 0, 0, 2, 1116.55
1669887182, 0, 0, 563, 563, 1, 7.20%, 0, 0, 2, 1095.87
1669887187, 0, 0, 597, 597, 1, 7.23%, 0, 0, 2, 1028.70
1669887192, 0, 0, 599, 599, 1, 7.24%, 0, 0, 2, 945.05
