unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669952714, 0, 0, 1, 1, 1, 5.65%, 0, 0, 1, 129.03
1669952725, 0, 0, 25, 25, 1, 5.85%, 0, 0, 2, 150.08
1669952730, 0, 0, 43, 43, 1, 5.89%, 0, 0, 2, 129.07
1669952735, 0, 0, 63, 63, 1, 5.94%, 0, 0, 2, 132.29
1669953990, 0, 0, 69, 69, 1, 5.98%, 0, 0, 2, 144.13
1669953995, 0, 0, 123, 123, 1, 6.24%, 0, 0, 2, 173.12
1669954001, 0, 0, 206, 206, 1, 6.65%, 0, 0, 2, 165.24
1669954006, 0, 0, 270, 270, 1, 7.34%, 0, 0, 2, 153.39
1669954011, 0, 0, 331, 331, 1, 7.92%, 0, 0, 2, 124.76
1669954016, 0, 0, 388, 388, 1, 8.08%, 0, 0, 2, 124.03
1669954021, 0, 0, 440, 440, 1, 8.12%, 0, 0, 2, 107.33
1669954026, 0, 0, 489, 489, 1, 8.18%, 0, 0, 2, 97.71
1669954031, 0, 0, 546, 546, 1, 8.26%, 0, 0, 2, 107.78
1669954036, 0, 0, 605, 605, 1, 8.29%, 0, 0, 2, 129.17
1669954041, 0, 0, 672, 672, 1, 8.33%, 0, 0, 2, 138.80
1669954047, 0, 0, 741, 741, 1, 8.38%, 0, 0, 2, 135.32
1669954052, 0, 0, 813, 813, 1, 8.44%, 0, 0, 2, 133.96
1669954057, 0, 0, 882, 882, 1, 8.45%, 0, 0, 2, 139.81
1669954062, 0, 0, 951, 951, 1, 8.47%, 0, 0, 2, 139.22
1669954067, 0, 0, 1017, 1017, 1, 8.51%, 0, 0, 2, 137.04
1669954073, 0, 0, 1068, 1068, 1, 8.53%, 0, 0, 2, 136.84
1669954078, 0, 0, 1120, 1120, 1, 8.53%, 0, 0, 2, 136.40
1669954083, 0, 0, 1154, 1154, 1, 8.54%, 0, 0, 2, 135.81
1669954088, 0, 0, 1195, 1195, 1, 8.56%, 0, 0, 2, 136.87
1669954093, 0, 0, 1221, 1221, 1, 8.57%, 0, 0, 2, 137.50
1669954098, 0, 0, 1252, 1252, 1, 8.58%, 0, 0, 2, 138.16
1669954104, 0, 0, 1281, 1281, 1, 8.58%, 0, 0, 2, 138.21
1669954109, 0, 0, 1318, 1318, 1, 8.59%, 0, 0, 2, 136.59
1669954114, 0, 0, 1352, 1352, 1, 8.61%, 0, 0, 2, 135.86
1669954119, 0, 0, 1380, 1380, 1, 8.63%, 0, 0, 2, 136.38
1669954124, 0, 0, 1395, 1395, 1, 8.63%, 0, 0, 2, 136.42
1669954129, 0, 0, 1407, 1407, 1, 8.64%, 0, 0, 2, 136.59
1669954134, 0, 0, 1429, 1429, 1, 8.64%, 0, 0, 2, 136.04
1669954140, 0, 0, 1441, 1441, 1, 8.64%, 0, 0, 2, 135.71
1669954145, 0, 0, 1450, 1450, 1, 8.64%, 0, 0, 2, 135.60
1669954150, 0, 0, 1484, 1484, 1, 8.65%, 0, 0, 2, 134.36
1669954155, 0, 0, 1515, 1515, 1, 8.65%, 0, 0, 2, 135.51
1669954160, 0, 0, 1536, 1536, 1, 8.65%, 0, 0, 2, 136.09
1669954165, 0, 0, 1548, 1548, 1, 8.66%, 0, 0, 2, 136.99
1669954170, 0, 0, 1568, 1568, 1, 8.66%, 0, 0, 2, 136.12
1669954176, 0, 0, 1578, 1578, 1, 8.67%, 0, 0, 2, 136.20
1669954181, 0, 0, 1593, 1593, 1, 8.67%, 0, 0, 2, 136.27
1669954186, 0, 0, 1609, 1609, 1, 8.68%, 0, 0, 2, 136.49
1669954191, 0, 0, 1612, 1612, 1, 8.69%, 0, 0, 2, 137.06
1669954196, 0, 0, 1622, 1622, 1, 8.69%, 0, 0, 2, 135.99
1669954201, 0, 0, 1624, 1624, 1, 8.69%, 0, 0, 2, 136.51
1669954206, 0, 0, 1625, 1625, 1, 8.69%, 0, 0, 2, 136.56
1669954211, 0, 0, 1627, 1627, 1, 8.69%, 0, 0, 2, 137.24
1669954216, 0, 0, 1632, 1632, 1, 8.69%, 0, 0, 2, 136.37
1669954222, 0, 0, 1646, 1646, 1, 8.69%, 0, 0, 2, 136.31
1669954232, 0, 0, 1652, 1652, 1, 8.69%, 0, 0, 2, 136.14
1669954237, 0, 0, 1672, 1672, 1, 8.71%, 0, 0, 2, 140.00
1669954242, 0, 0, 1703, 1703, 1, 8.73%, 0, 0, 2, 137.06
1669954247, 0, 0, 1719, 1719, 1, 8.74%, 0, 0, 2, 137.13
1669954252, 0, 0, 1730, 1730, 1, 8.74%, 0, 0, 2, 136.51
1669954257, 0, 0, 1733, 1733, 1, 8.74%, 0, 0, 2, 137.45
1669954268, 0, 0, 1735, 1735, 1, 8.74%, 0, 0, 2, 137.53
1669954288, 0, 0, 1736, 1736, 1, 8.74%, 0, 0, 2, 137.67
1669954512, 0, 0, 1743, 1743, 1, 8.77%, 0, 0, 2, 138.38
1669954517, 0, 0, 1777, 1777, 1, 8.81%, 0, 0, 2, 137.67
1669954522, 0, 0, 1791, 1791, 1, 8.81%, 0, 0, 2, 136.72
1669954527, 0, 0, 1816, 1816, 1, 8.88%, 0, 0, 2, 136.40
1669954532, 0, 0, 1856, 1856, 1, 8.90%, 0, 0, 2, 135.15
1669954537, 0, 0, 1872, 1872, 1, 8.91%, 0, 0, 2, 136.47
1669955824, 0, 0, 1876, 1876, 1, 8.92%, 0, 0, 2, 14.10
1669955830, 0, 0, 1893, 1893, 1, 8.92%, 0, 0, 2, 137.67
1669955835, 0, 0, 1912, 1912, 1, 8.92%, 0, 0, 2, 137.64
1669955840, 0, 0, 1929, 1929, 1, 8.92%, 0, 0, 2, 136.94
1669955845, 0, 0, 1964, 1964, 1, 8.92%, 0, 0, 2, 134.97
1669955850, 0, 0, 1978, 1978, 1, 8.92%, 0, 0, 2, 135.15
1669955855, 0, 0, 1983, 1983, 1, 8.92%, 0, 0, 2, 135.66
1669955860, 0, 0, 1984, 1984, 1, 8.92%, 0, 0, 2, 137.52
